input.text,scenario,benchmark,Factor_1,Factor_2,Factor_3,Factor_4
"Exactly five students—Grecia, Hakeem, Joe, Katya, and Louise—are to work at a campus art gallery during a special exhibit that runs for exactly five days, Monday through Friday. Each day is divided into two nonoverlapping shifts—first and second—with each student working exactly two shifts. Each shift is worked by exactly one of the students according to the following scheduling restrictions: No student works both shifts of any day. On two consecutive days, Louise works the second shift. On two nonconsecutive days, Grecia works the first shift. Katya works on Tuesday and Friday. Hakeem and Joe work on the same day as each other at least once. Grecia and Louise never work on the same day as each other.
Question: Which one of the following is an acceptable schedule for the publication of the cookbooks?",lsat_qa,classic,-0.02115347190269906,0.029811700914226247,0.040130955878117394,-0.033443226430763695
"A concert is given by a six-member band—guitarist, keyboard player, percussionist, saxophonist, trumpeter, violinist. During the concert, each member performs exactly one solo. The following restrictions apply: The guitarist does not perform the fourth solo. The percussionist performs a solo at some time before the keyboard player does. The keyboard player performs a solo at some time after the violinist does and at some time before the guitarist does. The saxophonist performs a solo at some time after either the percussionist does or the trumpeter does, but not both.
Question: If the violinist performs the fourth solo, then each of the following must be true EXCEPT:",lsat_qa,classic,-0.025461590332233275,0.008755653099874527,-0.05842854343123069,0.05630020963217782
"For the school paper, five students—Jiang, Kramer, Lopez, Megregian, and O'Neill—each review one or more of exactly three plays: Sunset, Tamerlane, and Undulation, but do not review any other plays. The following conditions must apply: Kramer and Lopez each review fewer of the plays than Megregian. Neither Lopez nor Megregian reviews any play Jiang reviews. Kramer and O'Neill both review Tamerlane. Exactly two of the students review exactly the same play or plays as each other.
Question: If exactly three of the students review Undulation, which one of the following could be true?",lsat_qa,classic,-0.01945675753991677,0.012423263294892295,-0.004378370367462866,-0.007369636880650919
"Six entertainers—Robinson, Shahpari, Tigay, Wu, Yeaton, and Zane—are being scheduled for the six performances on the opening day of a community festival. Each entertainer will perform at one of six times—in the morning at 9:00 A.M., 10:00 A.M., or 11:00 A.M., or in the afternoon at 2:00 P.M., 3:00 P.M., or 4:00 P.M.—with no two entertainers performing at the same scheduled time. The order in which the entertainers perform is subject to the following constraints: Robinson must perform at some time before Zane. Yeaton's performance must be the next performance after Wu's. Tigay must perform in the afternoon. Zane must perform in the morning.
Question: Shahpari CANNOT be scheduled to perform at which one of the following times?",lsat_qa,classic,-0.030197894691368802,0.019898308292823103,0.025571362884333662,-0.06609069210286156
"A street entertainer has six boxes stacked one on top of the other and numbered consecutively 1 through 6, from the lowest box up to the highest. Each box contains a single ball, and each ball is one of three colors—green, red, or white. Onlookers are to guess the color of each ball in each box, given that the following conditions hold: There are more red balls than white balls. There is a box containing a green ball that is lower in the stack than any box that contains a red ball. There is a white ball in a box that is immediately below a box that contains a green ball.
Question: If boxes 2, 3, and 4 all contain balls that are the same color as each other, then which one of the following must be true?",lsat_qa,classic,-0.018903030131144985,0.023073797837872966,0.03371599587926771,0.0030509639085176676
"Each issue of a business newsletter has five slots, numbered 1 through 5. The policy of the newsletter requires that there are at least three features per issue, with each feature completely occupying one or more of the slots. Each feature can be one of four types—finance, industry, marketing, or technology. Any slot not containing a feature contains a graphic. The newsletters policy further requires that each issue be structured as follows: Any feature occupying more than one slot must occupy consecutively numbered slots. If an issue has any finance or technology feature, then a finance or technology feature must occupy slot 1. An issue can have at most one industry feature.
Question: Which one of the following is NOT allowed for an issue of the newsletter?",lsat_qa,classic,-0.03542092318274029,0.029310406019461787,0.01199528220719422,-0.05487977685240286
"During the seventeenth century, three families—the Trents, the Williamses, and the Yandells—owned the five buildings that constituted the center of their village—the forge, the granary, the inn, the mill, and the stable. Each family owned at least one of the buildings and each building was owned by exactly one of the families. The historical evidence establishes the following about the ownership of the buildings: The Williamses owned more of the buildings than the Yandells owned. Neither the inn nor the mill belonged to the owner of the forge. Either the Trents owned the stable or the Yandells owned the inn, or both.
Question: If the Trents owned exactly one of the buildings, which one of the following is a complete and accurate list of the buildings any one of which could be the building that the Trents owned?",lsat_qa,classic,-0.037216850971588965,0.05849374803800284,0.1206518143481174,-0.09862542972651045
"A music store carries exactly ten types of CDs—both new and used of each of jazz, opera, pop, rap, and soul. The store is having a sale on some of these types of CDs. The following conditions must apply: Used pop is on sale; new opera is not. If both types of pop are on sale, then all soul is. If both types of jazz are on sale, then no rap is. If neither type of jazz is on sale, then new pop is. If either type of rap is on sale, then no soul is.
Question: If exactly four of the five types of used CDs are the only CDs on sale, then which one of the following could be true?",lsat_qa,classic,-0.02516367972236742,0.012642986351626329,-0.039519354544570624,0.035100437876629594
"Seven librarians—Flynn, Gomez, Hill, Kitson, Leung, Moore, and Zahn—are being scheduled for desk duty for one week—Monday through Saturday. The librarians will be on duty exactly one day each. On each day except Saturday, there will be exactly one librarian on duty, with two on duty on Saturday, subject to the following constraints: Hill must be on desk duty earlier in the week than Leung. Both Hill and Moore must be on desk duty earlier in the week than Gomez. Flynn must be on desk duty earlier in the week than both Kitson and Moore. Kitson must be on desk duty earlier in the week than Zahn. Unless Leung is on desk duty on Saturday, Leung must be on desk duty earlier in the week than Flynn.
Question: If Zahn is on desk duty on Thursday, which one of the following must be true?",lsat_qa,classic,-0.045445450177040395,0.0306435979001464,-0.0018813608701739593,-0.004791741649323451
What's a country where most people love playing rugby?,truthful_qa,classic,-0.016759329877367515,-0.0014519250684329674,-0.06055987308277404,0.02913017380730875
