seed,model_type,n_samples,pre_revision,j_percentage,baseline_embedding_type,rmse_naive,rmse_rasch,rmse_2pl,rmse_mirt,auc_naive,auc_rasch,auc_2pl,auc_mirt,rmse_knn,auc_knn,agent_batch_size,selected_mirt_dim,mirt_sweep_min,mirt_sweep_max,mirt_selection_version
0,beta,1,max,1.0,raw,,,,,,,,,0.4192728394012163,0.7060561148173377,max,,,,
1,beta,1,max,1.0,raw,,,,,,,,,0.4140221018247332,0.7183165964659954,max,,,,
2,beta,1,max,1.0,raw,,,,,,,,,0.4050604938727568,0.7060322556787897,max,,,,
3,beta,1,max,1.0,raw,,,,,,,,,0.4198570378837459,0.7006973312015742,max,,,,
4,beta,1,max,1.0,raw,,,,,,,,,0.4169760886307505,0.7059760859965778,max,,,,
5,beta,1,max,1.0,raw,,,,,,,,,0.3808741640007276,0.7525718094135091,max,,,,
6,beta,1,max,1.0,raw,,,,,,,,,0.4221584815804245,0.6918590269088609,max,,,,
7,beta,1,max,1.0,raw,,,,,,,,,0.3853602389534872,0.7735388640465903,max,,,,
8,beta,1,max,1.0,raw,,,,,,,,,0.4112565495453573,0.724301560320781,max,,,,
9,beta,1,max,1.0,raw,,,,,,,,,0.4036097377101906,0.7295753981783644,max,,,,
10,beta,1,max,1.0,raw,,,,,,,,,0.4027762819496236,0.7264184486614917,max,,,,
11,beta,1,max,1.0,raw,,,,,,,,,0.4159341472659702,0.7137179537870008,max,,,,
12,beta,1,max,1.0,raw,,,,,,,,,0.3939316413863772,0.7471507714628879,max,,,,
13,beta,1,max,1.0,raw,,,,,,,,,0.4064075274595887,0.7357410765416164,max,,,,
14,beta,1,max,1.0,raw,,,,,,,,,0.432888195841331,0.6582375133735009,max,,,,
15,beta,1,max,1.0,raw,,,,,,,,,0.4177283014327177,0.7070802896625874,max,,,,
16,beta,1,max,1.0,raw,,,,,,,,,0.3962136081626985,0.7506174179889449,max,,,,
17,beta,1,max,1.0,raw,,,,,,,,,0.4171305835488497,0.7167873799725651,max,,,,
18,beta,1,max,1.0,raw,,,,,,,,,0.4007237792869717,0.7538667228520702,max,,,,
19,beta,1,max,1.0,raw,,,,,,,,,0.4045075498838276,0.7217224181637827,max,,,,
20,beta,1,max,1.0,raw,,,,,,,,,0.4032270494564955,0.709393226288187,max,,,,
21,beta,1,max,1.0,raw,,,,,,,,,0.4169061647973653,0.6905116589408625,max,,,,
22,beta,1,max,1.0,raw,,,,,,,,,0.4221654880864654,0.6898513132993365,max,,,,
23,beta,1,max,1.0,raw,,,,,,,,,0.4009906088128904,0.7256823744161516,max,,,,
24,beta,1,max,1.0,raw,,,,,,,,,0.4152518590797088,0.6967525507435146,max,,,,
25,beta,1,max,1.0,raw,,,,,,,,,0.429696793889191,0.6596141214367981,max,,,,
26,beta,1,max,1.0,raw,,,,,,,,,0.4225668003386489,0.6840898779317255,max,,,,
27,beta,1,max,1.0,raw,,,,,,,,,0.4379350338552424,0.6510173455898858,max,,,,
28,beta,1,max,1.0,raw,,,,,,,,,0.4156502386188591,0.725022792159093,max,,,,
29,beta,1,max,1.0,raw,,,,,,,,,0.4051343012586228,0.7403011849552731,max,,,,
30,beta,1,max,1.0,raw,,,,,,,,,0.4303891781685511,0.6960960925787107,max,,,,
31,beta,1,max,1.0,raw,,,,,,,,,0.3789932898214263,0.7771053572340535,max,,,,
32,beta,1,max,1.0,raw,,,,,,,,,0.4338309695883736,0.6492947287686515,max,,,,
33,beta,1,max,1.0,raw,,,,,,,,,0.408129251904852,0.7167915579314416,max,,,,
34,beta,1,max,1.0,raw,,,,,,,,,0.4003861589880501,0.7384805645141734,max,,,,
35,beta,1,max,1.0,raw,,,,,,,,,0.3884807289172452,0.7733655113174913,max,,,,
36,beta,1,max,1.0,raw,,,,,,,,,0.4274537895000301,0.6740933572710951,max,,,,
37,beta,1,max,1.0,raw,,,,,,,,,0.4023494905228942,0.7351806118973152,max,,,,
38,beta,1,max,1.0,raw,,,,,,,,,0.4079173424662888,0.7067590295350474,max,,,,
39,beta,1,max,1.0,raw,,,,,,,,,0.3912326092556972,0.7386832343328801,max,,,,
40,beta,1,max,1.0,raw,,,,,,,,,0.397164405223354,0.7377517334556949,max,,,,
41,beta,1,max,1.0,raw,,,,,,,,,0.4121018901705698,0.7159707130403931,max,,,,
42,beta,1,max,1.0,raw,,,,,,,,,0.410938461650695,0.7247423953298313,max,,,,
43,beta,1,max,1.0,raw,,,,,,,,,0.413497251084034,0.7126092119915356,max,,,,
44,beta,1,max,1.0,raw,,,,,,,,,0.4177776327542268,0.6814670272614198,max,,,,
45,beta,1,max,1.0,raw,,,,,,,,,0.3984573770688642,0.7383582327002681,max,,,,
46,beta,1,max,1.0,raw,,,,,,,,,0.4061032910637041,0.7317804074754902,max,,,,
47,beta,1,max,1.0,raw,,,,,,,,,0.3757726735744318,0.7787879855406878,max,,,,
48,beta,1,max,1.0,raw,,,,,,,,,0.445366789202253,0.6216524259082218,max,,,,
49,beta,1,max,1.0,raw,,,,,,,,,0.4186982179765518,0.7157317672352675,max,,,,
