task_id,text_input
0,"Write a Python function that applies a fixed-point FIR filter to an input signal. The function should take the input signal, filter coefficients, word length, and fraction length as arguments. The output should be the filtered signal.The signature of the function is: def apply_fixed_point_fir_filter(input_signal, coefficients, word_length, fraction_length)"
1,"I need a Python function to represent Lance Armstrong's willingness to change his testimony based on some entities and conditions. Please help me write it.The signature of the function is: def get_lance_armstrong_testimony(entity, has_criminal_charges, deadline_met=False)"
10,"I need a Python function that can help me determine the type of child based on their behavior. The function should take in parameters such as talkativeness level, attention span, ability to play alone, and frequency of questions. Can the agent help me come up with this function?The signature of the function is: def categorize_child(talkativeness_level, attention_span, play_alone_ability, question_frequency)"
100,"I want you to write a Python function that determines the purpose of wasabi in sushi preparation. Sometimes I think it's to add flavor, but I've also heard it's to kill parasites. I'm not sure what the primary reason is. Can you create a function that takes into account different factors and returns a string indicating the purpose of wasabi?The signature of the function is: def wasabi_purpose(fish_type, wasabi_applied, parasite_risk)"
101,"Hello AI agent, I need your help in calculating a metric that can quantify the level of narcissism in a given dataset. The dataset contains answers to a survey and the participation rate of each individual. Can you write a Python function that calculates this metric? I want the function to take two lists as input: answers and participation. The answers list contains the responses to the survey questions, and the participation list contains the participation rates of each individual. The function should return a score between 0 and 100 that represents the level of narcissism in the dataset.The signature of the function is: def calculate_narcissism(answers, participation)"
102,"Can you help me write a python function that can generate variations of a base URL by adding different paths and query parameters? I want the function to take a base URL, a path, and any number of query parameters as input and return the resulting URL.The signature of the function is: def generate_url(base, path, params=None)"
103,"I need a python function to figure out what type of finish is on my hardwood floor, it scratches easily and I'm not sure what it is, can you write a function to help me determine that?The signature of the function is: def determine_floor_finish(easily_scratched, appearance, scratches_off_with_nail)"
104,"I'm trying to fill a crack in my wall with removable insulation and I'm not sure which material to use. Can you write a Python function that recommends the best insulation material based on the type of wall, crack size, insulation purpose, and how long the solution needs to last? The function should be able to handle different inputs and provide a recommendation.The signature of the function is: def get_insulation_recommendation(wall_type, crack_size, insulation_purpose, is_temporary, time_frame)"
105,"I want you to write a python function to check if an LDAP entry is consistent with a predefined schema. I have a set of attributes and their required values as per my company's policy, and I want to check if a given entry adheres to these rules. Can you help?The signature of the function is: def is_consistent(entry, schema)"
106,"I want you to write a Python function to plan a flower garden with a specified number of flowers, color scheme, and bloom times. The function should take these parameters as input and return a dictionary that represents the garden plan, where each color is a key and the value is another dictionary with bloom times as keys and a list of flower names as values. The function should also ensure that the flowers are evenly distributed across the color scheme and bloom times.The signature of the function is: def design_flower_garden(num_flowers, color_scheme, bloom_times, flower_names)"
107,I want a python function that can take in some information about the governorates of Italian East Africa and return some relevant data. Can you write a function that does this?The signature of the function is: def get_governorate_info(governorate_names)
108,"I want the agent to write a python function to calculate the favor of Khorne, the Chaos God of war and bloodlust, towards an army based on their preferred weapon choice and skill level in battle. I want the function to give full favor (100) if the army excels in close combat and is highly skilled, but gives no favor (0) if the army specializes in ranged combat and is poorly skilled. All other scenarios will be granted a moderate favor (50). Can you please help me with this?The signature of the function is: def khorne_favor(army_weapon_choice, army_skill_level)"
109,"I want to write a Python function to calculate the lifespan of historical figures. Can the agent please help me come up with a function that takes some kind of input about a person's life and returns the number of years they lived?The signature of the function is: def calculate_lifespan(birth_year, death_year) I don't know. I just want a simple function to calculate the lifespan."
11,"Write a python function to help me find a suitable desktop machine for office use, considering factors like touch screen, operating system, and budget. I want to use the function to determine the ideal desktop machine based on these criteria.The signature of the function is: def get_recommended_desktop(office_use, budget, touch_screen, os_preference)"
110,"I want a Python function that can tell me the medical uses of a given plant based on its name and family. The function should be able to handle different plant names and families, and provide a general message if the plant's medical uses are not found. Can you help me create this function?The signature of the function is: def get_plant_medical_uses(plant_name, plant_family)"
111,"Can you write a Python function that determines the risk of unstart in a supersonic inlet based on its Mach number, throat size, stagnation pressure, and mass flow rate? The function should return the risk level as 'High', 'Moderate', 'Low', or 'Unknown'?The signature of the function is: def calculate_unstart_risk(mach_number, throat_size, stagnation_pressure, mass_flow_rate)"
112,"I need a Python function that will help me respond to phone conference queries like 'Dude, are you there?' with 'here' or 'there' depending on the location of the speaker and the listener. Please take into consideration that 'here' refers to where the speaker is and 'there' refers to where the listener is. Can you write this for me?The signature of the function is: def phone_response(location, listener_location)"
113,"I need a python function to get the travel time to airports in Canada. I want to provide the airport name, mode of transportation, and starting location as input, and get the travel time in minutes as output. Can you write a function that covers at least two airports and different modes of transportation?The signature of the function is: def get_travel_time_to_airport(airport_name, mode_of_transportation, starting_location)"
114,"Can you write a python function that determines whether my iphone is properly connected to itunes. The function should consider if my apps are visible in itunes and also if a hardware reset is required.The signature of the function is: def is_iphone_connected(itunes_visible, hardware_reset=False, data_backup=False)"
115,"Hey agent, I want you to write a Python function that calculates the score of Mega Man 2 based on the number of enemies killed, power-ups collected, and lives lost. Can you do that for me?The signature of the function is: def calculate_mega_man_score(enemies_killed, power_ups_collected, lives_lost)"
116,"Hey LLM agent, I need your help writing a python function that determines the winner of a startup competition based on votes from the public and a panel of judges. Can you help me with that? We want to ensure that the winner is not only popular but also has a solid idea. The function should take into account the number of votes, the quality of the startup idea, and the mobilization of supporters as these are the decisive factors. Oh, by the way, we also have an initial filtering process done by a panel of judges.The signature of the function is: def determine_winner(startups, votes, judges_scores)"
117,"Can you write a python function that takes some profile information of a person and find out whether the person is likely a police officer? The signature of the function is: def is_likely_police_officer(height, weight, age, occupation)"
118,"Hey, can you write a python function to generate a color spectrum between two given wavelengths, but exclude pink since it's not really a color? I'm not sure about the exact wavelength range for pink, but I know it's not a single wavelength.The signature of the function is: def generate_color_spectrum(wavelength_start, wavelength_end)"
119,"I want you to write a Python function that can help me analyze how people react to compliments in a video. Can you create a function that takes in a list of compliments and a list of reactions, and outputs some kind of analysis? But I'm not sure what kind of analysis I want yet, can you help me figure that out?The signature of the function is: def analyze_compliments(compliments, reactions)"
12,"Please write a python function that can verify a list of outfits for a given occasion. Based on some predefined rules, the function should return True if all outfits are suitable for the occasion, and False otherwise.The signature of the function is: def verify_outfits(occasion, outfits, allowed_outfits)"
120,"Write a Python function that takes a biblical verse (Romans 7:19) and determines whether Paul is referring to his past or present state. The function should consider different theological perspectives and contextual analysis.The signature of the function is: def analyze_romans_7(context, verse, perspective)"
121,"I want to analyze the use of the musical term 'selah' in Psalms and other musical traditions. I need a Python function that takes in a list of musical notes and their corresponding durations, and returns the longest pause or rest in the musical piece. The function should be able to handle notes with varying durations, and the pauses should be considered as the time between two consecutive 'selah' notes. Can you write this function for me?The signature of the function is: def calculate_longest_pause(musical_notes, note_durations)"
122,"Hey LLM agent, I want to brew a beer with tart cherries and I'm not sure how to add them. Can you write a Python function that takes into account the type of fruit, its form, and my sanitation concerns? The function should output the best method to add the cherries to my beer.The signature of the function is: def best_cherry_method(fruit_type, fruit_form, sanitation_concerns)"
123,"Can you write a python function that identifies if a movie is gay-friendly and kid-friendly, I'm not sure about the exact criteria but maybe it has something to do with the cast or the plot. Should be able to work with a list of movies.The signature of the function is: def is_gay_friendly(movie_data, gay_actors, gay_icons) Movie_data contains cast, crew, and plot information. For gay-friendly, check cast members against gay_actors and look for LGBTQ+ themes in the plot."
124,"Write a Python function that helps robotic ants navigate through a network of corridors by determining the most fortuitous path based on the angles of bifurcations and the intensity of pheromone trails. The function should take two inputs: a list of edge angles and a list of pheromone trail intensities, and output the index of the most fortuitous path.The signature of the function is: def calculate_most_fortuitous_path(edge_angles, pheromone_trails)"
125,"I'd like you to write a python function that takes in some weather related data and alerts me if there are extreme conditions that can cause disruptions to transportation. Can you create a function that can handle different types of weather conditions?The signature of the function is: def alert_extreme_weather(wind_speed, rain_condition, traffic_condition)"
126,"I need a python function to determine the speed of motorcycle racers. They travel certain distances in varying times and I need to know how fast they're going. Can you help me with a python function to calculate this?The signature of the function is: def calculate_motorcycle_speed(distance, time)"
127,"Hello, I need a python function that determines if a sign language interpreter is qualified or not. Can you write this function for me?The signature of the function is: def is_interpreter_qualified(years_of_training, advocate_training_years, disability_status)"
128,"I want to write a Python function to analyze football player performance based on their weekly statistics, such as passing yards, rushing yards, touchdowns, and other relevant metrics. Can you help me create a function that can take in a dictionary of player statistics and output a ranked list of players based on their performance?The signature of the function is: def calculate_weekly_player_rankings(player_stats)"
129,"Hey, I want you to write a python function that simulates a text-based game where I am a hitman trying to complete missions. If I complete a mission, my level increases. Missions vary in difficulty and my hitman level affects how easy or hard the mission is. I can only use the function with the difficulty of the mission and my current level. Please help me write this function.The signature of the function is: def hitman_game(hitman_level, mission_difficulty)"
13,Can the agent write a Python function to calculate the total weight of fish caught by each fisherman in the tournament and rank them based on their total weight?The signature of the function is: def calculate_total_weight_and_rank(fishermen_data)
