task_id,text_input
efc0f3a47e9ed2ecdbcc037c2093865fe6e39f4d413a5d1ccdc7357160a4606b,Which Fidelity international emerging markets equity mutual fund with $0 transaction fees had the lowest percentage increase between May 2019 to May 2024?
cca4776df3c73e7f9430a2e624aafad056b14322a0b7ca6c0c22b7e7f3f0890a,Which member of Apple’s Board of Directors did not hold C-suite positions at their companies when they joined the board?
929b45f34805280d77c61d1e093e3d4e551d77ddb6ecd73552b12b1af286388d,The dog genome was first mapped in 2004 and has been updated several times since. What is the link to the files that were most relevant in May 2020?
4dbedc5e1a0205e14b7ff3ba89bce3060dab15d0ada3b7e1351a6f2aa8287aec,"How much did I save by purchasing a season pass instead of daily tickets for California's Great America in San Jose, if I planned to visit once a month in June, July, August, and September during the summer of 2024?"
55f4258484c5b398956133128a50462a767da211f8f72aa5ac5bbffb9bcbba1a,What is the worst rated series (according to Rotten Tomatoes) with more than 1 season that Ted Danson has starred in and is available on Amazon Prime Video (US)?
8ad84bd6fe38481ba49e7ad1f6fbd43219a999074e5c6fc940003281f55ec65b,Which supermarkets within 2 blocks of Lincoln Park in Chicago have ready-to-eat salad for under $15?
f88066d274e265edd6cd9d61cd80a41accb3a14baf2297652fdd05cdf716d455,"What popular hiking trails to waterfalls in Yosemite National Park (more than 1,000 reviews on TripAdvisor) have been recommended to be fully accessible to wheelchairs by at least three different people and are highly rated (4.5/5 or more on average)?"
e6bc98089608217e45b6956a46518fe3cce64a799b3ac43c6974c449ae14c408,"What's the highest price a high-rise apartment was sold for in Mission Bay, San Francisco, in 2021?"
e2dc3a6b10b762e8aba7fa4d4e70f757f6d04dcbc8b56c48fc53fd9928d31d07,"Based on the last decade (2014-2023), what is the likelihood that it will snow on New Year’s Eve in Chicago? (Provide the answer in percentage.)"
6e3be83d1949fa52cba03fb1ce4b5b3bf7e37a83fd7d67694b10b2e439d90cf8,Where can I take martial arts classes within a five-minute walk from the New York Stock Exchange after work (7-9 pm)?
9baaa267c95f9d8b75741ee9169c50563d297cfa592c20deaffd30dbc5984c74,"Based on recent years (2020-2023), how likely am I to hit a day with a max temperature (in Fahrenheit) over 95 if I travel to Houston, Texas during June? (provide the answer in percentage)"
ccec2229ced20a4b0cb4897e3a99120a3017ea030903e01c9bda6b13d40b0b14,What is the closest eatery to Harkness Memorial State Park that is still open at 11pm on Wednesdays?
99da66d8af02491f98b98c56b26c709e773b5a2ad945fb280375951ba600de09,"How much will I save by getting annual passes for a group of 4 adults and 1 student for the Philadelphia Museum of Art, compared to buying daily tickets, if we visit 5 times in a year (all non-consecutive days)?"
6f224e7730ed027cbac73aebb1aea7f954053082041b02b19f4ff126a0a8a208,Which members of Fubo's Management Team joined the company during the same year Fubo's IPO happened?
0ec4371851b96837b0a81b3dd3df401415061bb532fbafeb4609f3337c358508,Which gyms (not including gymnastics centers) in West Virginia are within 5 miles (by car) of the Mothman Museum?
52f7224e9c79431e7926afe317782711a0028750693e7456cde22ef6f4bd8bd5,What is the highest rated (according to IMDB) Isabelle Adjani feature film that is less than 2 hours and is available on Vudu (now called Fandango at Home) to buy or rent?
fb9ba3ab6a13d0adc677f993e90d54914a5cdf211305a1bba6bf16ec4ccb9b7c,On which social media platform does Andrew Ng have the most followers?
557e78eceec08ca8b0da5f9fdaca6e1c7ec6140a8ce600983ee716327dab005e,Which bar is closest to Mummers Museum in Philadelphia and is wheel chair accessible?
9bdca8677af1e25cb7b0c7992dc62670c3e58e4afcd5ae60bcaa2483556bba00,"What is the cheapest option to mail a DVD to Colombia from Hartford, Connecticut using FedEx, DHL, or USPS? (The answer should be a json object with the keys ""sender"" and ""price (usd)"")"
6b06d186921b8b390c65aebd0d16f09f60a47d2f1288ebe36953f734e84c0a3c,"What's the smallest house (based on square footage) that has at least 2 beds and 2 baths and was sold in Prince Edward Island between June 1, 2022 and May 15 2024 according to Zillow?"
8fa42360185068216f2919935148d4e1ad28ddc18da0abd0f4bb0b6b6f84b127,"Which Vanguard ETF had the highest pct increase between 2013 and 2023: VGT, MGK, or VONG?"
3af8028c2a59e28ca88baff0e6d91f2a9f170c5ef91003f1c8406755a2760ad4,"Which Magic: The Gathering Standard card (non-foil paper version released in its original set) that was banned at the same time as Oko, Thief of Crowns (including Oko, Crown of Thorns) had the highest price decrease from its all-time high to its all-time low?"
291b53e665b4dd4365cde995042db4a6f6fecef3fe3a6f4482f23d61bd673918,What is the link to the GFF3 file for beluga whales that was the most recent one on 20/10/2020?
748899d9d70c09beb3bd48ac8a3658bdcfd2f9114fe6dc4c4b8d2f9541ef4607,"How much does it cost to send an envelope with 1-week delivery from Rio de Janeiro to NYC with DHL, USPS, or Fedex? (Format your answers as a list of jsons with the keys ""sender"" and ""price (usd)"" for each option you find)"
9e31099fffa6a3891c94934fd4fc2f3f522d51c1904ff3561f3a10e4bf245821,Which of the people in the monday.com C-suite did not have a C-suite position during the company's IPO?
c7afe00869f98cf363fd83677ac41757ed5e57f03eacc3d1304feb0a92084bd1,What is the highest rated (according to IMDB) Daniel Craig movie that is less than 150 minutes and is available on Netflix (US)?
57d9dc6935e8a40b02e7f8ec81768fe70e68a0c05f6866927c9fda38db38a486,"How much will I save by getting annual passes for my family (2 adults, 1 kid age 5, 1 kid age 2) for the Seattle Children Museum, compared to buying daily tickets, if we visit 4 times in a year?"
4e615af6f0348597b4133cc1ec5418bb3f35328e3d95e23a275027cee97b5e09,"Which paintball places in Cologne, Germany are within a 10 minute walk from a karting track?"
797f7a5b65ca28b7e7156e7db1e9f117bd4a021de0cd512bfdbb0be897d89eab,Which restaurants (not takeaway only) within 1 blocks of Washington Square Park have vegan mains for under $15?
2aa5dd83fbcd0dce9a3dd4592106e5b5edf738008d932e357d477bba80e59ccf,"Based on recent years (2020-2023), how likely am I to hit a rainy day (at least 0.5mm of precipitation) if I travel to Seattle during the first week of September? (provide the answer in percentage)"
2ddae3b7a208e3c25f14d82d7a1faaaa1832fbf950b4dac345e755c4c361f294,What's the lowest price a Single Family house was sold in Queen Anne in January 2023?
a9074997e698f912b9e751779ea19c1e92fa148404e90e0ae997acea3f9559b0,What are hikes in Yellowstone that have been recommended by at least three different people with kids and are highly rated on TripAdvisor (an average from 4.5/5 from at least 50 reviews)?
b36ef2d8f2643b80e74a44ce3403f674ecb2aed7fd36afeaa289061a59feef92,Which gyms near Tompkins Square Park (<200m) have fitness classes before 7am?
