task_id,text_input
capsule-2804717,"you need to Export the following R default packages: datasets,utils,grDevices,graphics,stats,methods. Run 'ResultReproducibilityNotebook.Rmd' and render it as an html file. Store the output in ../results and set clean to 'TRUE'. to answer the following questions: dict_keys(['fig Report the x-axis label of Figure 2 (a).', 'fig From the Network Density plot (Figure 4), report the label for the red line (ignore spaces).']). Your submitted answer should be a Python dictionary whose keys are exactly those questions and values are the answers. You should install all of the requirements found in the Readme file and then run the commands necessary to answer the questions."
capsule-9052293,you need to Run 'script.py'. to answer the following questions: dict_keys(['Report the closeness coefficient for location L1.']). Your submitted answer should be a Python dictionary whose keys are exactly those questions and values are the answers. You should install all of the requirements found in the Readme file and then run the commands necessary to answer the questions.
capsule-9660931,"you need to Execute 'HCR-Net.ipynb'. Save the results in html format in ../results. For all the runs, disable the cell execution timeout and allow errors. to answer the following questions: dict_keys(['Report the best accuracy for HCR-Net on the test dataset.']). Your submitted answer should be a Python dictionary whose keys are exactly those questions and values are the answers. You should install all of the requirements found in the Readme file and then run the commands necessary to answer the questions."
capsule-8234136,"you need to Run 'main.py' with GOBI as the scheduler argument. Run 'main.py' with A3C as the scheduler argument. Then, run 'grapher.py'. to answer the following questions: dict_keys(['fig Report the name of the model with the highest average energy.', 'fig Report the name of the model with the lowest average wait time.']). Your submitted answer should be a Python dictionary whose keys are exactly those questions and values are the answers. You should install all of the requirements found in the Readme file and then run the commands necessary to answer the questions."
capsule-6003668,you need to Run 'split_mnist.py'. to answer the following questions: dict_keys(['Report the average test accuracy on all the tasks after learning the 4th task.']). Your submitted answer should be a Python dictionary whose keys are exactly those questions and values are the answers. You should install all of the requirements found in the Readme file and then run the commands necessary to answer the questions.
capsule-9641396,you need to Run 'run.py'. to answer the following questions: dict_keys(['fig Report the y-axis label of the convergence curve figure over the 03-adder benchmark.']). Your submitted answer should be a Python dictionary whose keys are exactly those questions and values are the answers. You should install all of the requirements found in the Readme file and then run the commands necessary to answer the questions.
capsule-6049678,"you need to Run 'Main.py'. to answer the following questions: dict_keys(['Report the f1 score for the Musk1+ dataset with the knn classifier.', 'Report the f1 score for the Musk1+ dataset with the svm classifier.', 'Report the f1 score for the Musk1+ dataset with the j48 classifier.']). Your submitted answer should be a Python dictionary whose keys are exactly those questions and values are the answers. You should install all of the requirements found in the Readme file and then run the commands necessary to answer the questions."
capsule-8807709,"you need to Run 'epidemic.py'. to answer the following questions: dict_keys(['fig For the third subplot in the visualization of the experiments, report the color of the line with the greatest number of nodes at epoch 15.', 'fig Report the name of the first subplot in the visualization of the experiments.']). Your submitted answer should be a Python dictionary whose keys are exactly those questions and values are the answers. You should install all of the requirements found in the Readme file and then run the commands necessary to answer the questions."
capsule-8536428,"you need to Run the python files in the folder and its subdirectories. If there are multiple python files in the same directory or subdirectory, only run the train files, not the test files. to answer the following questions: dict_keys(['Report the test accuracy of NB with ngram on the combined corpus.', 'Report the test precision of NB with ngram on the combined corpus.', 'Report the test recall of NB with ngram on the combined corpus.', 'Report the test f1 of NB with ngram on the combined corpus.', 'Report the test accuracy of k-NN with empath on the combined corpus.', 'Report the test precision of k-NN with empath on the combined corpus.', 'Report the test recall of k-NN with empath on the combined corpus.', 'Report the test f1 of k-NN with empath on the combined corpus.']). Your submitted answer should be a Python dictionary whose keys are exactly those questions and values are the answers. You should install all of the requirements found in the Readme file and then run the commands necessary to answer the questions."
capsule-9670283,"you need to Run step_0_vit_encode.py, then step_1_train.py, and finally step_2_plot_top1_top2.py. to answer the following questions: dict_keys(['fig From the final result plot, report the label for the orange line.', 'fig From the final result plot, report the label for the blue line.']). Your submitted answer should be a Python dictionary whose keys are exactly those questions and values are the answers. You should install all of the requirements found in the Readme file and then run the commands necessary to answer the questions."
