task_id,text_input
0059adc6b12a3822305deb68929b2de8,"Find support services jobs in Bentonville, in the state of Arkansas."
005be9dd91c95669d6ddde9ae667125c,Find the weight of baggage allowance for economy class on Qatar Airways.
0170ca95038b05fa58d463fe627ac605,Check if a visa is required to work in the UK for longer than 6 months in Healthcare as an American citizen.
01abae9608f2d8752a83e08f136f720c,Show me the code for the company that is the top mover in the Cboe Europe Technology Sector Index (BEPTEC) as of the latest market close.
046138801a05ddf56ad94e8672942496,Find discussions of the community and open one with the most replies on Flightaware.
05483c50cc9b04c8ac44c574758fb2bd,Look for the best rated BBB accredited charity near 12023.
0632e496d37badee0350dad358f047c5,Browse recipes for gluten-free chocolate chip cookies that can be made without nuts.
070c907d34a4ce71dfdbea38f9c5d4d8,Find a dentist who specializes in pediatric dentistry and is located near zip code 90210 (within 5-mile distance).
07bdc595306729a028ba06cc7451a80a,Select a high speed train ticket with a departure time before 23:00  from Shanghai to Beijing.
07ec4a12cba8090e2dc524d558ac7675,Check drug interaction for melatonin and Folate Forte.
0a0fa834ce41b5297c6474293383759d,What are the onboard activities of the highest-rated Regent Seven Seas Cruise ship based on Costco member reviews?
0a0fa834ce41b5297c6474293383759d_110325,"What are the onboard activities of the cheapest cruise, departing from Los Angeles that lasts at least 8 days?"
0a54069a0ef542e571d1fee7f39c93d5,Browse senior spayed/neutered dogs near zip code 90028.
0b2623e9fa5cea997f76490bcbc5220f,"Find a list of shorthaired dogs available for adoption within 100 miles of zip code 94587 that are good with kids and cats, and have been on Petfinder for over 30 days."
0b51b4fa0295ae80ccd176ebdad6fff6,Search for a red Toyota Corolla from model years 2018 to 2023 on CarMax.
0b838cd54f826c59c71f600c56b89a11,Find all the locations for the second-best-rated used car dealer less than 5 miles from New York.
0e42c3a73f2aece1f854e0ba55b7c8b0,"Find a gas station in Manhattan, NY with a rating above 4.0, and sort the user reviews by the lowest rating."
0e5536aaad9d3462b06cf725e6ed535a,Show me the page with average wait times for U.S. citizens arriving at Raleigh-Durham International Airport on 2025-03-12.
11857213ca01510f12813740afd59918,"Add the most top-selling Adidas men's basketball shoe in red, size 10 to my cart."
11857213ca01510f12813740afd59918_110325,"Add the most top-selling Birkenstock's men clogs in brown, size 10-10.5 to my cart."
