neuron_idx,interpretation,top_example_1,top_example_2,top_example_3,importance
30,,"I want the agent to write a Python function that can help me estimate the total casualties based on the number of days of protests and the average number of deaths and injuries per day. The function should be able to calculate the total casualties for a given period.The signature of the function is: def calculate_casualties(protest_days, protest_deaths, protest_injuries)","I want you to write a Python function that can calculate the total number of victims from a recent suicide bombing attack in Iraq. The victims are not only the people directly targeted, but also other innocent bystanders, as well as the bodyguards of the targeted person. The function should take the number of suicide bombing victims, laborer victims, and bodyguard victims as parameters.The signature of the function is: def calculate_victims(suicide_bombing_victims, laborer_victims, bodyguard_victims)","I want the agent to write a python function that analyzes casualties from a protest given the total number of protesters, the number of protesters killed, and the number of protesters injured. The function should return a dictionary with the number of protesters killed, injured, total protesters and survived. Please write the python function.The signature of the function is: def calculate_casualties(total_protesters, protesters_killed, protesters_injured) I don't know if the function should validate the numbers. The key names 'killed', 'injured', 'total_protesters', and 'survived' are fine.",0.068779856
36,,"Hello agent, I want you to write a Python function to help the new leader of Kyrgyzstan, Otunbayeva, manage the government's finances. The deposed regime made off with tens of millions of dollars, but there's still some money left in the state coffers. Can you write a function that calculates the total amount of money available to the government?The signature of the function is: def calculate_total_money(income, expenses, initial_fund)","Hey LLM, I am an event organizer of the Boston Green Festival. We have partnered with Gazelle, a company that buys back used gadgets. They offered to pay a certain price for each gadget type and we collected a certain quantity of gadgets during the event. Can you write a python function to calculate the total amount of money Gazelle owes us from buying back these gadgets?The signature of the function is: def calculate_total_buyback_amount(prices, quantities)","Hi agent, I have a huge list of clients, each who has claimed a certain amount after being affected by the Ponzi scheme. I also know the total funds we've recovered from this scam so far. Can you write a python function that can calculate how much each client would ideally receive from the recovered funds given the funds that were claimed by each client? The recovered funds should be distributed based on the proportion of the total amount claimed.The signature of the function is: def calculate_distribution(claimed_amounts, total_recovered_funds)",0.04255912
37,,"Hello LLM agent, I want you to write a python function that calculates the productivity of the US economy at a given time, the goal is to answer some follow up questions, but I don't think I have the expertise to determine which part of the economy should be evaluated for productivity, can you collaborate with me and possibly write a function.The signature of the function is: def calculate_productivity(gdp_growth, inflation_rate, desired_sector)","I need a python function to estimate the cost of disposing of waste at the Ada County Landfill. The function should take into account the types and amounts of waste, as well as the capacity of the vehicle used to transport the waste. Can the agent help me create such a function?The signature of the function is: def calculate_disposal_cost(waste_types, waste_amounts, vehicle_capacity)",Write a python function to calculate average price paid for a vehicle as per truecar for Lake Worth area. I have only new and not pre-owned/used vehicle pricesThe signature of the function is: def calculate_average_price(prices),0.07143511
7,,"I want the LLM agent to help me write a Python function that calculates the time dilation effect according to Einstein's theory of relativity. Think of a car moving at high speed and explain to me how to calculate the time that passes for the observer inside the car relative to the observer outside the car.The signature of the function is: def calculate_time_dilation(rest_time, relative_velocity, speed_of_light)","I want the LLM agent to write a python function to rate sportscasters based on certain attributes, but I am not sure what attributes to include and how to quantify their performance.The signature of the function is: def evaluate_sportscaster(tonal_clarity, wit, experience, on_air_appearance)","I want the LLM agent to write a Python function to help determine whether a helicopter search operation can proceed given certain weather conditions. Can the agent take into account the type of helicopter, the priority of the search operation, and various weather factors such as cloud cover, wind speed, rain, and hail?The signature of the function is: def assess_search_feasibility(weather_conditions, helicopter_type, search_priority)",0.037188016
46,,"I need a Python function to calculate the impact of government spending cuts on the national economy. Can you write a function that takes into account the current deficit, inflation rate, employment rate, and percentage of spending cuts? I'm not sure about the exact formula, but I want to see how the agent comes up with it.The signature of the function is: def calculate_economic_impact(deficit, inflation_rate, employment_rate, spending_cut_percentage)","Hi agent, I need a Python function to estimate how austerity measures will affect a country's GDP. Can you write a function that considers various economic factors?The signature of the function is: def calculate_gdp_impact(debt_to_gdp_ratio, unemployment_rate, investment_in_education, tax_rate)","I want to measure the peace level in a country based on some factors. Can you write a python function to calculate this 'peace index'? I'm thinking it should be based on how fair the elections are, how much support the rebels have, and some other stuff. Also, it should take into account the impact of violence.The signature of the function is: def calculate_peace_index(election_turnout, rebel_support, economic_justice, minority_rights, num_violent_incidents, total_population)",0.11828718
13,,"Write a Python function that helps me position elements of different sizes on a graphical canvas of a given size, so that they are visually appealing and don't overlap with each other. I want to be able to specify the position of the element, such as top left, top right, bottom left, bottom right, or center. The function should take the canvas size and the element size as input and return the x and y coordinates of the element's position.The signature of the function is: def position_element(canvas_width, canvas_height, element_width, element_height, position='center')","I want the LLM agent to write a Python function that generates a buffer zone around a given geographic point. The function should take in the longitude and latitude of the center point, the distance of the buffer zone in kilometers, and the shape of the buffer zone (either 'circle' or 'square'). The function should return the longitudes and latitudes of the buffer zone.The signature of the function is: def generate_buffer_zone(center_longitude, center_latitude, distance_km, buffer_type='circle')","I need a Python program to classify volcanic fragments and determine their distribution around the crater in Wudalianchi Scenic Spots. There are different types of fragments, such as volcanic bombs, driblets, scoria, pumice blocks, and lapilli. Each type has a specific size range and distribution around the crater. Can you write a function that can classify these fragments and calculate their distribution?The signature of the function is: def classify_volcanic_fragments(fragment_types, fragment_sizes, crater_radius)",0.10096777
33,,"Can you write a python function to evaluate my coding setup? I have multiple operating systems with different text editors installed and I want to rate them based on the availability of certain packages like vim and emacs. I don't have the exact details, can you help me create this function?The signature of the function is: def check_package_score(installed_packages, required_packages) I think the function should give 1 point for each required package found, and the score should be normalized by dividing by the total number of required packages. All packages are equally important, so no different weights are needed.","Write a Python function that calculates the score of a car based on its performance attributes, such as horsepower, torque, weight, and speed, so that I can compare and choose between different cars.The signature of the function is: def calculate_car_score(horsepower, torque, weight, speed, horsepower_weight=0.4, torque_weight=0.3, weight_weight=0.2, speed_weight=0.1)","Can you write a python function that takes in different scores as input and calculates an overall score? I have 100 point scores from critics and 5 point scores from users. The function should give more weight to the critics' scores.The signature of the function is: def calculate_average_score(critic_scores, user_scores, critic_weight=0.8, user_weight=0.2)",0.039626412
44,,"Can you write a Python function to help me figure out when it will be a certain temperature today? I want to know how many hours I have to wait until it reaches the temperature I want. The function should take into account the current temperature and the hourly temperature changes.The signature of the function is: def time_until_desired_temp(current_temp, desired_temp, temp_changes)","I need a python function to get the travel time to airports in Canada. I want to provide the airport name, mode of transportation, and starting location as input, and get the travel time in minutes as output. Can you write a function that covers at least two airports and different modes of transportation?The signature of the function is: def get_travel_time_to_airport(airport_name, mode_of_transportation, starting_location)","Can you write a Python function to help plan the schedule for our upcoming event, the Chinese New Year celebration at the Nelson-Atkins Museum of Art? We have several performances with different durations, and we need to fit them within a certain time frame.The signature of the function is: def plan_event_schedule(performance_durations, start_time, end_time)",0.03741735
31,,"Hey, I need a Python function to estimate my gas mileage based on my driving habits. I drive a mix of city and highway miles, and I want to know how my mileage varies. Can you help me with that? I think it depends on the ratio of city to highway driving or something, but I'm not sure.The signature of the function is: def calculate_gas_mileage(city_miles, highway_miles, total_miles, city_mpg, highway_mpg)","Hey agent, I want to know how to calculate the volume of rocks a large dump truck can carry. I saw a video of Russia's largest dump truck, can you write a python function to get this done?The signature of the function is: def calculate_volume_truck_can_carry(weight_capacity, rock_density, height, width, length)","Hey agent, I'm comparing different cars and I need a way to calculate how long it takes to cover a certain distance at different speeds. Can you write a python function to help me with that?The signature of the function is: def calculate_time(distance, speed) I don't know. I just need a simple function to calculate time given distance and speed.",0.013092105
35,,I want a python function that can take in some information about the governorates of Italian East Africa and return some relevant data. Can you write a function that does this?The signature of the function is: def get_governorate_info(governorate_names),"I want you to write a python function that can determine the Kshatriya community of a given list of names based on their geographical locations and ethnic groups. The locations will be specified as country and region, but the regions may not always be specific or clear. The agent needs to ask clarifying questions to resolve any ambiguities.The signature of the function is: def get_kamboj_community(names, locations)","I'm trying to analyze the positions of different countries during international negotiations. Can you write a Python function that takes in a list of country names, a list of values, and a dictionary of negotiations where each key is a country and the value is a dictionary of value positions? The function should return a dictionary where each key is a country and the value is a list of tuples, where each tuple contains a value and that country's position on that value during the negotiations.The signature of the function is: def get_country_positions(countries, values, negotiations)",0.054857865
