Factor_1,Factor_2,question
0.30083920910136874,4.156001970988905,The court rejects Mendoza's reasoning finding that the ninety-day period relevant to 18 U.S.C. SS 3164 does not begin to run until the defendant is in federal custody pursuant to a pre-trial detention order issued by a federal judicial officer.
0.7740594795226726,3.834090992268684,"With one exception, plaintiffs' allegations of misrepresentations and omissions in paragraphs 73 and 74 are, in essence, merely conclusory assertions that defendants' statements quoted in paragraphs 18 through 72 of the complaint are false; plaintiffs do little more than assert that the quotations were misrepresentations. Vague and conclusory allegations that the defendant's representations were not true, however, are insufficient for 9(b) purposes."
-0.10657980658353579,3.245533110667889,"Moreover, in addition to the officer's testimony, the evidence also shows that Smith engaged in a high-speed, dangerous chase and then attempted to flee from police on foot and that a nine-millimeter, loaded handgun with a bullet in the chamber was found in the front passenger seat after Smith fled from the car."
1.0986314122300287,3.1463738069106864,"In the present case, Hag-gerty admitted that he was not working out as plant manager and initiated a request to step down. His relinquishment of the duties in those circumstances resulted in failed consideration and an abandonment of the three year plant manager contract, assuming it was previously enforceable."
-0.3532576769896414,3.107979264971827,"In these circumstances, and against this legislative framework, we think there are at least two sound reasons for not inferring a congressional intention to dedicate two forums to the task of assessing alleged ""mistakes of fact"" relating to an employee's testimony before the ALJ. First, where newly discovered evidence of fraud implicates the evidentiary basis for an employee's compensation claim, the LHWCA discloses a decided preference for utilizing the DOL's in-house expertise in resolving the dispute."
0.8350778196018546,3.025884420750532,"RSA 510:4, I (1983). The New Hampshire Supreme Court has determined that the scope of RSA 510:4 is as broad as is consistent with the statutory language and the dictates of due process."
1.1248731388875703,2.9477442581852564,This leaves for the Court to determine whether Debtor voluntarily and intentionally violated that duty. The taxpayer's state of mind may be inferred from his or her conduct.
-0.22755040034686944,2.9354577679028635,"With sufficient autonomy from the state, especially with regard to financial matters, an agency, political subdivision, or state university is the real party in interest and is thus a ""citizen"" for the purposes of diversity jurisdiction."
1.5759634866246388,2.8885558516347345,"Furthermore, Plaintiff is clearly the ""prevailing party"" in this case. The Court granted Plaintiff summary judgment, found him disabled, and ordered the award of social security benefits."
-0.5238446406407503,2.844781947500388,"He too cites to numerous cases -- but also none by the Third Circuit -- that have confronted this exact issue and have concluded that state failure-to-warn claims are not preempted by the FDCA and its attendant regulations. See, e.g., Hurley v. Lederle Labs."
0.5929228917954413,2.8222353217915233,"In Gil, the district court permitted the Government to offer expert testimony that drug traffickers often employ counter-surveillance driving techniques, register cars in others' names, deliver narcotics and cash in public parking lots, and frequently use pagers and public telephones."
-0.32402361530780305,2.811204679111405,"Plaintiffs claim against defendant Turzillo, an employee of the Monroe County Department of Probation, is based solely on his disagreement with the contents of the presentencing report that Turzillo submitted to Justice Klonick. Turzillo is absolutely immune from liability in that regard."
