Factor_1,Factor_2,question
0.17680081777975157,-0.3656586337561434,"Description: The mark ""7-Eleven"" for a convenience store that opens at 7am and closes at 11pm."
-0.49461670374089334,-0.10125942341694094,"Description: The mark ""Airbus"" for an airplane manufacturer."
-0.467577794247332,0.44037226323571343,"Description: The mark ""Amazon"" for an online shopping service."
-0.7228485904118277,-0.02397221791711781,"Description: The mark ""American Airlines"" for an air based transporation service."
-0.9055782408619143,0.2542139793221157,"Description: The mark ""Antilds"" for plant seeds."
-0.5668827915491745,-0.12155387886483147,"Description: The mark ""Apple"" for a computer manufacturer."
-0.7031254327749707,0.47114074792539257,"Description: The mark ""Aspirin"" for inflammation medicine."
-0.15761644791071763,0.12495752375470714,"Description: The mark ""Best Washing"" for a laundromat."
-0.4742079702078076,0.0807151419750666,"Description: The mark ""Bright"" for desk lamps."
-0.8557502818728957,0.05984285244560156,"Description: The mark ""Cables"" for electronic wires."
-0.6340122450454213,0.1128539708640086,"Description: The mark ""Camel"" for cigarettes."
-1.0666232282180417,0.34827158558051025,"Description: The mark ""Car"" for a line of automobiles."
-0.5446621094830401,0.09826650989809896,"Description: The mark ""CarMax"" for a used car dealership."
-0.7298551607032755,0.42472653902499163,"Description: The mark ""Ceath"" for waterguns."
-0.3612613143534484,-0.15196612454656638,"Description: The mark ""Cheetah"" for a brand of wallets."
-0.4873603825504086,0.26294981797566386,"Description: The mark ""Cheetah"" for a web browser."
-0.6068351054902089,0.07011211902805657,"Description: The mark ""Chicken of the Sea"" for canned fish."
-1.0054574333545607,0.03129021998397622,"Description: The mark ""Citibank"" for urban financial services."
-0.698608153867352,0.03613432057063821,"Description: The mark ""Coach"" for luxury accessories."
-0.8386944530711405,0.3629242360725616,"Description: The mark ""Coastal Winery"" for varietal wines."
-1.133169670650511,-0.036428480591417935,"Description: The mark ""Cold and Creamy"" for ice cream desserts."
-0.6428806407832944,0.032555112480470424,"Description: The mark ""Compact"" for wallets."
-0.7944890306485134,0.37435675666591584,"Description: The mark ""Coppertone"" for suntan oil."
-1.2107317201691095,-0.6665808880311686,"Description: The mark ""Cutlery"" for eating utencils."
-0.8056944237613252,0.08121895843121103,"Description: The mark ""Daisy"" for a sports car."
-0.9150128989898105,-0.024093263749745162,"Description: The mark ""Diamond"" for precious stones."
-0.8564708919171443,0.22969806108979804,"Description: The mark ""Dove"" for chocolate."
0.36644449794723,-0.14779605264743698,"Description: The mark ""Equine Technologies"" for horse hoof pads."
-0.44200477357014817,0.09967035037596773,"Description: The mark ""Fever"" for washing detergent."
-0.5682504386417894,0.05555514874869185,"Description: The mark ""Food"" for a restaurant."
-0.4535882400214855,0.3475902521995331,"Description: The mark ""Fresh"" for car deodorizer."
-0.6802549781236636,-0.10086257320215374,"Description: The mark ""Fruit"" for apples."
-0.12070496767864532,-0.18110244169257245,"Description: The mark ""GreenBull"" for formal wear."
-0.7752495859005009,0.019380842132011643,"Description: The mark ""Greyhound"" for a high speed bus service."
-1.0945898282746995,0.7456787331919453,"Description: The mark ""Gun"" for a firearm."
-0.06879793915887442,0.399031155001695,"Description: The mark ""H2O"" for bottled water."
-1.4121331270257294,0.6089047321494414,"Description: The mark ""Heullga"" for a line of waterbottles."
0.4757643826462934,0.008807665125341623,"Description: The mark ""Holiday Inn"" for hotel services."
-1.2442477245082333,0.4200253868431201,"Description: The mark ""Imprion"" for a line of sports drinks."
-0.6262092390864759,0.05172678831889557,"Description: The mark ""International Business Machines"" for a computer manufacturer."
0.21489724153062342,-0.6475846227051403,"Description: The mark ""Jaguar"" for cars."
-0.7508529007374698,0.4385618956326508,"Description: The mark ""Kalp"" for a consulting services company."
-1.045519287244137,0.09747640133094879,"Description: The mark ""Kerosene"" for packages of flammable liquids used to start fires."
-0.5290342182327888,0.11223528553689584,"Description: The mark ""KitchenAid"" for baking appliances."
