train_auc,train_acc,test_auc,test_acc,final_epoch,active_dims,n_test_samples,n_train_samples,K_MODEL,lambda_tau,scenario,n_models,n_items
0.8157232090817643,0.7382207994868284,0.7590715139720703,0.6989946120091096,770,16,18003,162129,50,100,legalbench,183,1990
0.820339453315136,0.7418043656594441,0.7583818002596664,0.6988279731155919,740,17,18003,162129,50,80,legalbench,183,1990
0.826522996108189,0.7467572118498232,0.7583072262073611,0.6966616674998611,680,32,18003,162129,50,50,legalbench,183,1990
0.8297355882220836,0.7489468262926435,0.758057747499746,0.6966061212020219,670,46,18003,162129,50,40,legalbench,183,1990
0.8199296672424865,0.7417426863793646,0.7578351869127633,0.6967172137977004,690,17,18003,162129,100,80,legalbench,183,1990
0.8219000815900788,0.742692547292588,0.757749862025693,0.6974948619674499,750,18,18003,162129,50,75,legalbench,183,1990
0.821666836750076,0.7425630208044212,0.7576255235397702,0.6992167972004666,710,19,18003,162129,100,75,legalbench,183,1990
0.8165916689027022,0.7390287980558691,0.7570190577768925,0.6987168805199133,760,14,18003,162129,100,100,legalbench,183,1990
0.8351114180761148,0.7538441611309513,0.7567855190914624,0.6944398155862912,670,50,18003,162129,50,30,legalbench,183,1990
0.8293867901352392,0.7486877733163099,0.7563552394985491,0.6956062878409154,660,26,18003,162129,100,50,legalbench,183,1990
0.8375803135231599,0.7561633020619384,0.7558747788219338,0.693717713714381,660,50,18003,162129,50,25,legalbench,183,1990
0.8370454002195575,0.7554354865570009,0.7555425003792778,0.6936066211187024,620,49,18003,162129,100,30,legalbench,183,1990
0.8385003824116737,0.7569527968469552,0.7555132023028579,0.6941620840970949,610,69,18003,162129,100,25,legalbench,183,1990
0.8336969401844991,0.7526969265214737,0.7554469107492087,0.694606454479809,650,32,18003,162129,100,40,legalbench,183,1990
0.8418365509135897,0.7595679983223236,0.7548601727365598,0.6923290562683997,610,96,18003,162129,100,20,legalbench,183,1990
0.8402273238726413,0.7581863824485441,0.7548126493753682,0.6931622507359885,670,50,18003,162129,50,20,legalbench,183,1990
0.8416033667914935,0.7593767925540773,0.7541205367685366,0.692828972948953,650,50,18003,162129,50,15,legalbench,183,1990
0.8462155716700688,0.763176236206971,0.7530116288806284,0.6921624173748819,600,100,18003,162129,100,15,legalbench,183,1990
0.8449734717610313,0.7621276884456205,0.7526057738207188,0.6918846858856857,650,50,18003,162129,50,5,legalbench,183,1990
0.8535166376758442,0.7696463926873045,0.7494960680352721,0.6906626673332222,600,100,18003,162129,100,5,legalbench,183,1990
